Upgrade,Model,Estimator,Outcome,Regressor,Controls,Coefficient,Clustered SE,p_value,95% CI lower,95% CI upper,Candidate N,Estimator N,Firms,p-value display
A_control_block,Core pre-specified block: log outcome,TWFE OLS,green_quality_log,log_dt,firm_size+leverage+roa+growth+soe,0.021635055019974935,0.010201167468721099,0.034118968919178094,0.0016411340233104532,0.04162897601663942,6574,6443,1337,0.0341
A_control_block,Core pre-specified block: count outcome,Conditional PPML,green_invention_count,log_dt,firm_size+leverage+roa+growth+soe,0.08942618500219864,0.04845884214502935,0.06497866011405917,-0.005551401083741678,0.18440377108813893,6574,2774,505,0.0650
A_control_block,No-governance block: log outcome,TWFE OLS,green_quality_log,log_dt,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+largest_holder+employee_scale+soe,0.020036974735451015,0.010182276629611735,0.049294333324211514,8.007910337068033e-05,0.03999387036753135,6574,6443,1337,0.0493
A_control_block,No-governance block: count outcome,Conditional PPML,green_invention_count,log_dt,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+largest_holder+employee_scale+soe,0.09357759816258444,0.04800371359880325,0.05124976546973348,-0.0005079523573803812,0.18766314868254927,6574,2774,505,0.0512
B_control_block,No-financial-controls block: log outcome,TWFE OLS,green_quality_log,log_dt,firm_size+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.020908791244976178,0.010188007656965448,0.04033555028254421,0.0009406630055995499,0.040876919484352806,6574,6443,1337,0.0403
B_control_block,No-financial-controls block: count outcome,Conditional PPML,green_invention_count,log_dt,firm_size+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.07875376185831409,0.054034949010484695,0.14498952137386545,-0.027152792944071538,0.1846603166606997,6574,2774,505,0.1450
A_control_block,Locked full block: log outcome,TWFE OLS,green_quality_log,log_dt,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.019627851154060707,0.010161493343183474,0.05362126548474078,-0.00028830998481854664,0.03954401229293996,6574,6443,1337,0.0536
A_control_block,Locked full block: count outcome,Conditional PPML,green_invention_count,log_dt,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.09332482438011906,0.05067820818770336,0.06554570897703083,-0.006002639252284767,0.19265228801252288,6574,2774,505,0.0655
B_exposure_winsorization,1%/99% winsorized exposure: log outcome,TWFE OLS,green_quality_log,log_dt_winsor_1_99,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.019482160668916275,0.010198006247008187,0.056297020715375456,-0.0005055644469948786,0.03946988578482743,6574,6443,1337,0.0563
B_exposure_winsorization,1%/99% winsorized exposure: count outcome,Conditional PPML,green_invention_count,log_dt_winsor_1_99,leverage+cash_flow+firm_size+book_to_market+roa+growth+fixed_asset_ratio+equity_balance+independent_directors+board_size+largest_holder+employee_scale+ceo_duality+soe,0.09320560869689226,0.05084027747583454,0.06675759519050106,-0.0064395049057543174,0.19285072229953884,6574,2774,505,0.0668
